"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high"
"fixed","(Intercept)",25.0486792513842,2.36321791092789,10.5993946370985,11780.5541586628,3.93227857522639e-26,20.4163813248681,29.6809771779003
"fixed","Sports",0.969527869239678,0.300966836204805,3.22137774867634,800.492586174014,0.0013273097160058,0.37875046303494,1.56030527544442
"fixed","Male",-1.15193729565082,0.267360573644603,-4.30855335155762,12161.5113460939,1.6561676382649e-05,-1.67600654836572,-0.627868042935918
"fixed","NonWhite",-1.01704805867363,0.323668455382501,-3.14225264081331,8612.90720048,0.00168221777542902,-1.65151573515795,-0.382580382189302
"fixed","SES",2.52789932349599,0.207046460457649,12.2093336824421,11873.8356179785,4.43526340820779e-34,2.12205434795654,2.93374429903544
"fixed","Arts",1.06562739517489,0.387678159699044,2.74874240014486,12370.8046119846,0.00599111454212999,0.30571781482418,1.82553697552561
"fixed","ReadK",1.2338371101405,0.0103761836980284,118.910492147026,12398.7018023742,0,1.21349817830653,1.25417604197447
"fixed","Age",-0.053121378323474,0.0309010650315784,-1.71907920549626,12400.0068623332,0.085624908348566,-0.113692265183913,0.0074495085369647
"fixed","Catholic",-0.0425432256754363,0.679760758492998,-0.0625855863903542,731.600646761012,0.950113601676091,-1.37705759588897,1.2919711445381
"fixed","OthPriv",1.0303036535619,0.750439423576885,1.37293380543772,917.840585321458,0.170108255396403,-0.442472708454341,2.50308001557814
"fixed","SchKEnrl",-0.00394884083160997,0.00531476723860983,-0.742994124544739,758.816790507449,0.457715193154162,-0.0143822347216303,0.00648455305841035
