"model","term","estimate","std.error","statistic","conf.low","conf.high"
"Naive HLM","Sports",4.03835462307313,0.443906927555145,9.09730029516482,3.16677238363613,4.90993686251013
"Covariate-Adjusted HLM","Sports",0.969527869239678,0.300966836204805,3.22137774867634,0.37875046303494,1.56030527544442
"PS-Stratified HLM","Sports",1.08045860411605,0.441511693096291,2.44718004304454,0.21502568751815,1.94589152071395
"PS-Stratified + Covariate-Adjusted HLM","Sports",0.957908126476088,0.295502933624304,3.24161968454076,0.378676022855423,1.53714023009675
