"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high"
"fixed","(Intercept)",26.145440940598,2.42376283265426,10.787128422118,11784.9933230354,5.29315757273361e-27,21.3944651386668,30.8964167425292
"fixed","Sports",0.957908126476088,0.295502933624304,3.24161968454076,12300.4440530001,0.00119168932711435,0.378676022855423,1.53714023009675
"fixed","strata2",2.06253906464548,0.575971074108569,3.58097681873638,12170.936787176,0.000343646030235511,0.93354422815221,3.19153390113875
"fixed","strata3",2.44994184470313,0.782391037803847,3.13135213253473,12208.1920879934,0.00174414233218341,0.916331541316451,3.98355214808982
"fixed","strata4",3.4779948735564,1.00107172310483,3.47427141660678,12181.3746188312,0.000514023868109511,1.51573537679865,5.44025437031414
"fixed","strata5",4.3330832542397,1.33589041964173,3.24359183248113,12185.3364344389,0.00118350673723122,1.71452604462551,6.95164046385389
"fixed","Male",-2.45783588086819,0.497214653459215,-4.94320886113989,12196.8314826041,7.78687694401407e-07,-3.43245541140906,-1.48321635032732
"fixed","NonWhite",0.534921489738008,0.56244198988241,0.951069620264027,12287.0510781541,0.341587742488849,-0.567553155485992,1.63739613496201
"fixed","SES",1.7479551801887,0.368093063190902,4.74867731827416,12371.1973575232,2.07048966107251e-06,1.02643544194077,2.46947491843662
"fixed","Arts",0.714262967761731,0.402768942130076,1.77338144292927,12324.0568450836,0.0761902129372258,-0.0752271898256945,1.50375312534916
"fixed","ReadK",1.22497730770639,0.0106742137537573,114.760425073481,12387.9802630493,0,1.20405418890073,1.24590042651205
"fixed","Age",-0.0891806294997658,0.0329569869346255,-2.70597035089,12371.2550104438,0.00681984846615195,-0.153781457261999,-0.0245798017375329
"fixed","Catholic",-0.636476053974269,0.695915495910142,-0.914588132775898,802.710868776228,0.360682532691141,-2.00250507031367,0.729552962365132
"fixed","OthPriv",1.21154996383486,0.76024118193433,1.59363895645884,947.361896995445,0.111350480623244,-0.280401471205699,2.70350139887543
"fixed","SchKEnrl",-0.00557451583334172,0.00536744985163672,-1.03857809340163,774.261185051213,0.299325221270202,-0.0161109949476664,0.00496196328098296
