"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high"
"fixed","(Intercept)",77.2313060021188,0.442860348240727,174.392009374788,755.150685202556,0,76.3619222493272,78.1006897549105
"fixed","Sports",4.03835462307313,0.443906927555145,9.09730029516482,684.711414900188,9.93298046405589e-19,3.16677238363613,4.90993686251013
