"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high"
"fixed","(Intercept)",70.8090980111481,0.553898328202581,127.837717512032,3074.01895859096,0,69.7230496187881,71.8951464035081
"fixed","Sports",1.08045860411605,0.441511693096291,2.44718004304454,12194.3573679644,0.0144118994668959,0.21502568751815,1.94589152071395
"fixed","strata2",4.73702149025139,0.632928391781886,7.48429293385819,12320.0762811265,7.68201758607931e-14,3.49638275335093,5.97766022715186
"fixed","strata3",7.84959387715021,0.6578322570141,11.9325159164124,12337.3053102727,1.21129916266939e-32,6.56013984245993,9.13904791184049
"fixed","strata4",9.75682411779917,0.67899448064305,14.369519040212,12199.6633023014,1.92326434263899e-46,8.42588734408367,11.0877608915147
"fixed","strata5",16.1351664322154,0.723271859004409,22.3085776549161,11741.7387608752,5.25862472360591e-108,14.7174334947083,17.5528993697225
