"model","term","estimate","std.error","statistic"
"Naive","(Intercept)",77.2313060021188,0.442860348240727,174.392009374788
"Naive","Sports",4.03835462307313,0.443906927555145,9.09730029516482
"Adjusted","(Intercept)",25.0486792513842,2.36321791092789,10.5993946370985
"Adjusted","Sports",0.969527869239678,0.300966836204805,3.22137774867634
"Adjusted","Male",-1.15193729565082,0.267360573644603,-4.30855335155762
"Adjusted","NonWhite",-1.01704805867363,0.323668455382501,-3.14225264081331
"Adjusted","SES",2.52789932349599,0.207046460457649,12.2093336824421
"Adjusted","Arts",1.06562739517489,0.387678159699044,2.74874240014486
"Adjusted","ReadK",1.2338371101405,0.0103761836980284,118.910492147026
"Adjusted","Age",-0.053121378323474,0.0309010650315784,-1.71907920549626
"Adjusted","Catholic",-0.0425432256754363,0.679760758492998,-0.0625855863903542
"Adjusted","OthPriv",1.0303036535619,0.750439423576885,1.37293380543772
"Adjusted","SchKEnrl",-0.00394884083160997,0.00531476723860983,-0.742994124544739
"PS Stratified","(Intercept)",70.8090980111481,0.553898328202581,127.837717512032
"PS Stratified","Sports",1.08045860411605,0.441511693096291,2.44718004304454
"PS Stratified","strata2",4.73702149025139,0.632928391781886,7.48429293385819
"PS Stratified","strata3",7.84959387715021,0.6578322570141,11.9325159164124
"PS Stratified","strata4",9.75682411779917,0.67899448064305,14.369519040212
"PS Stratified","strata5",16.1351664322154,0.723271859004409,22.3085776549161
"PS Stratified + Adjusted","(Intercept)",26.145440940598,2.42376283265426,10.787128422118
"PS Stratified + Adjusted","Sports",0.957908126476088,0.295502933624304,3.24161968454076
"PS Stratified + Adjusted","strata2",2.06253906464548,0.575971074108569,3.58097681873638
"PS Stratified + Adjusted","strata3",2.44994184470313,0.782391037803847,3.13135213253473
"PS Stratified + Adjusted","strata4",3.4779948735564,1.00107172310483,3.47427141660678
"PS Stratified + Adjusted","strata5",4.3330832542397,1.33589041964173,3.24359183248113
"PS Stratified + Adjusted","Male",-2.45783588086819,0.497214653459215,-4.94320886113989
"PS Stratified + Adjusted","NonWhite",0.534921489738008,0.56244198988241,0.951069620264027
"PS Stratified + Adjusted","SES",1.7479551801887,0.368093063190902,4.74867731827416
"PS Stratified + Adjusted","Arts",0.714262967761731,0.402768942130076,1.77338144292927
"PS Stratified + Adjusted","ReadK",1.22497730770639,0.0106742137537573,114.760425073481
"PS Stratified + Adjusted","Age",-0.0891806294997658,0.0329569869346255,-2.70597035089
"PS Stratified + Adjusted","Catholic",-0.636476053974269,0.695915495910142,-0.914588132775898
"PS Stratified + Adjusted","OthPriv",1.21154996383486,0.76024118193433,1.59363895645884
"PS Stratified + Adjusted","SchKEnrl",-0.00557451583334172,0.00536744985163672,-1.03857809340163
